17:	me
16:	go
13:	let
13:	you
11:	a
9:	to
8:	the
8:	just
7:	and
6:	no,
6:	will
5:	this
5:	not
5:	really
4:	poor
4:	nothing
4:	mama,
4:	easy
4:	i'm
4:	gallileo,
4:	i
4:	all
4:	my
4:	no
4:	matters
3:	mama
3:	bismillah!
3:	gotta
3:	-
3:	wind
3:	see
3:	him
3:	ooo
3:	from
3:	never
3:	little
3:	for
3:	we
3:	can
3:	time
2:	very
2:	put
2:	if
2:	in
2:	is
2:	come
2:	on,
2:	i've
2:	anyway
2:	get
2:	man
2:	so
2:	think
2:	but
2:	die
2:	ooh
2:	do
2:	his
2:	leave
2:	has
2:	mia,
2:	carry
2:	boy
2:	life
2:	now
2:	he's
2:	oh
1:	caught
1:	been
1:	don't
1:	shivers
1:	your
1:	yeah
1:	come,
1:	because
1:	doesn't
1:	nobody
1:	high,
1:	lightning
1:	want
1:	tomorrow
1:	blows)
1:	blows,
1:	it
1:	eye
1:	monstrosity
1:	(never)
1:	as
1:	at
1:	anyone
1:	reality
1:	love
1:	gun
1:	mia
1:	thunderbolt
1:	against
1:	goodbye
1:	i'd
1:	devil
1:	dead
1:	matter
1:	eyes
1:	out
1:	low
1:	too
1:	frightening
1:	late,
1:	escape
1:	can't
1:	fandango
1:	spare
1:	pulled
1:	born
1:	loves
1:	outta
1:	beelzebub
1:	right
1:	(anyway
1:	sends
1:	face
1:	spit
1:	open
1:	magnifico
1:	yeah,
1:	silhouetto
1:	baby,
1:	sometimes
1:	begun
1:	had
1:	down
1:	got
1:	wish
1:	scaramouch,
1:	me,
1:	blows
1:	up
1:	gallileo
1:	need
1:	didn't
1:	thrown
1:	real
1:	look
1:	gone
1:	aside
1:	aching
1:	scaramouch
1:	here
1:	behind
1:	everybody
1:	away
1:	body's
1:	back
1:	boy,
1:	head
1:	of
1:	sympathy
1:	figaro
1:	make
1:	life?
1:	fantasy?
1:	trigger,
1:	again
1:	spine
1:	cry
1:	landslide
1:	killed
1:	stone
1:	truth
1:	mean
1:	baby
1:	skies
1:	family
